# Lantern Extractor - Object Instances
# Format: ModelName, PosX, PosY, PosZ, RotX, RotY, RotZ, ScaleX, ScaleY, ScaleZ
gpine,-152.1504,145.973,0.0009998,0,0,97.73438,0.5,0.5,0.5
gpine,-168.849,117.4187,0.0010002,0,0,120.2344,0.75,0.75,0.75
gpine,-161.6101,217.3839,35.3674,0,0,57.65625,0.5,0.5,0.5
gpine,-169.5978,59.82307,0.0010002,0,0,177.1875,0.5,0.5,0.5
rug1,113.1266,-140.6941,1.1006,0,0,5.625,3,3,3
crated,146.189,-146.2392,6.2006,0,229.9219,317.1094,1.5,1.5,1.5
crateb,140.7115,-148.879,1.000599,0,0,103.3594,1,1,1
chest1,145.2297,-140.4729,1.0006,0,0,148.3594,1.25,1.25,1.25
barrel3,149.5671,-118.3449,1.0006,0,0,25.3125,1,1,1
torchpoint,135.7679,150.6457,4.000599,0,0,270,1,1,1
torchpoint,158.5397,150.9392,4.000599,0,0,270,1,1,1
chest1,133.3261,168.4418,1.0006,0,0,349.4531,1,1,1
chest1,155.6875,171.3403,1.0006,0,0,243.9844,1,1,1
chest1,141.7185,173.0471,1.0006,0,0,274.9219,1,1,1
chest1,154.4884,159.0396,1.0006,0,0,136.4063,1,1,1
ladder20,207.666,-5.060728,12.36817,0,354.375,0,0.75,0.75,0.75
ladder20,263.025,8.392109,41.0192,0,350.8594,0,0.75,0.75,0.75
